Год;Месяц;Компания;Бренд;Модель;Модификация;Год выпуска;Страна-производитель;Вид топлива;Объём двиг, л,;Коробка передач;Тип привода;Сегмент;Регион;Наименование дилерского центра;Тип клиента;Форма расчета;Количество;Цена, USD;Продажа, USD;Область;Сегментация 2013;Класс 2013;Сегментация Eng;Локализация производства
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;Hyundai Premium Astana;Физ. Лицо;;1;17889,74751;17889,74751;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6MT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;16835,85959;16835,85959;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6MT;2WD;C;Алматы;Hyundai Premium Almaty;Физ. Лицо;;1;17362,80355;17362,80355;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;20260,99534;20260,99534;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Павлодар;Hyundai Center Pavlodar;Физ. Лицо;;1;20260,99534;20260,99534;Павлодарская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;19734,05138;19734,05138;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Auto Almaty;Физ. Лицо;;1;19734,05138;19734,05138;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Auto Almaty;Физ. Лицо;;1;20260,99534;20260,99534;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Premium Almaty;Физ. Лицо;;1;19734,05138;19734,05138;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Auto Almaty;Физ. Лицо;;1;20260,99534;20260,99534;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Auto Almaty;Физ. Лицо;;1;19734,05138;19734,05138;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;19207,10742;19207,10742;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Нур-Султан;Hyundai Premium Astana;Физ. Лицо;;1;22368,77119;22368,77119;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Петропавловск;Hyundai Center Petropavlovsk;Физ. Лицо;;1;23159,18714;23159,18714;Северо-Казахстанская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Кызылорда;Best-Avto;Физ. Лицо;;1;22368,77119;22368,77119;Кызылординская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Алматы;Hyundai Premium Almaty;Физ. Лицо;;1;23159,18714;23159,18714;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Усть-Каменогорск;Тенгри-Авто;Физ. Лицо;;1;22368,77119;22368,77119;Восточно-Казахстанская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Кызылорда;Best-Avto;Физ. Лицо;;1;22368,77119;22368,77119;Кызылординская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Кокшетау;Hyundai Center Kokshetau;Физ. Лицо;;1;22368,77119;22368,77119;Акмолинская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD Base;2018;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Premium Almaty;Физ. Лицо;;1;17362,80355;17362,80355;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
